
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[00325/51350] processed, ingested=6, skipped=0, already_present=319
[00350/51350] processed, ingested=31, skipped=0, already_present=319
[00375/51350] processed, ingested=56, skipped=0, already_present=319
[00400/51350] processed, ingested=81, skipped=0, already_present=319
[00425/51350] processed, ingested=106, skipped=0, already_present=319
[00450/51350] processed, ingested=131, skipped=0, already_present=319
[00475/51350] processed, ingested=156, skipped=0, already_present=319
[00500/51350] processed, ingested=181, skipped=0, already_present=319
[00525/51350] processed, ingested=206, skipped=0, already_present=319
[00550/51350] processed, ingested=231, skipped=0, already_present=319
[00575/51350] processed, ingested=256, skipped=0, already_present=319
[00600/51350] processed, ingested=263, skipped=0, already_present=337
[00625/51350] processed, ingested=288, skipped=0, already_present=337
[00800/51350] processed, ingested=304, skipped=0, already_present=496
[00825/51350] processed, ingested=322, skipped=0, already_present=503
[00850/51350] processed, ingested=340, skipped=0, already_present=510
[00875/51350] processed, ingested=360, skipped=0, already_present=515
[00900/51350] processed, ingested=379, skipped=0, already_present=521
[00925/51350] processed, ingested=399, skipped=0, already_present=526
[00950/51350] processed, ingested=418, skipped=0, already_present=532
[01000/51350] processed, ingested=455, skipped=0, already_present=545
[01100/51350] processed, ingested=527, skipped=0, already_present=573
[01200/51350] processed, ingested=581, skipped=0, already_present=619
[01225/51350] processed, ingested=597, skipped=0, already_present=628
[01250/51350] processed, ingested=616, skipped=0, already_present=634
[01275/51350] processed, ingested=620, skipped=0, already_present=655
[01300/51350] processed, ingested=633, skipped=0, already_present=667
[01325/51350] processed, ingested=651, skipped=0, already_present=674
[01375/51350] processed, ingested=663, skipped=0, already_present=712
[01400/51350] processed, ingested=677, skipped=0, already_present=723
[01450/51350] processed, ingested=692, skipped=0, already_present=758
[01500/51350] processed, ingested=714, skipped=0, already_present=786
[01525/51350] processed, ingested=739, skipped=0, already_present=786
[01550/51350] processed, ingested=764, skipped=0, already_present=786
[01575/51350] processed, ingested=789, skipped=0, already_present=786
[01600/51350] processed, ingested=814, skipped=0, already_present=786
[01625/51350] processed, ingested=839, skipped=0, already_present=786
[01650/51350] processed, ingested=864, skipped=0, already_present=786
[01675/51350] processed, ingested=889, skipped=0, already_present=786
[01700/51350] processed, ingested=914, skipped=0, already_present=786
[01725/51350] processed, ingested=939, skipped=0, already_present=786
[01750/51350] processed, ingested=964, skipped=0, already_present=786
[01775/51350] processed, ingested=989, skipped=0, already_present=786
[01800/51350] processed, ingested=1014, skipped=0, already_present=786
[01825/51350] processed, ingested=1039, skipped=0, already_present=786
[01850/51350] processed, ingested=1064, skipped=0, already_present=786
[01875/51350] processed, ingested=1089, skipped=0, already_present=786
[01900/51350] processed, ingested=1114, skipped=0, already_present=786
[01925/51350] processed, ingested=1139, skipped=0, already_present=786
[01950/51350] processed, ingested=1164, skipped=0, already_present=786
[01975/51350] processed, ingested=1189, skipped=0, already_present=786
[02000/51350] processed, ingested=1214, skipped=0, already_present=786
[02025/51350] processed, ingested=1239, skipped=0, already_present=786
[02050/51350] processed, ingested=1264, skipped=0, already_present=786
[02075/51350] processed, ingested=1289, skipped=0, already_present=786
[02100/51350] processed, ingested=1314, skipped=0, already_present=786
[02125/51350] processed, ingested=1339, skipped=0, already_present=786
[02150/51350] processed, ingested=1364, skipped=0, already_present=786
[02175/51350] processed, ingested=1389, skipped=0, already_present=786
[02200/51350] processed, ingested=1414, skipped=0, already_present=786
[02225/51350] processed, ingested=1439, skipped=0, already_present=786
[02250/51350] processed, ingested=1464, skipped=0, already_present=786
[02275/51350] processed, ingested=1489, skipped=0, already_present=786
[02300/51350] processed, ingested=1514, skipped=0, already_present=786
[02325/51350] processed, ingested=1539, skipped=0, already_present=786
[02350/51350] processed, ingested=1564, skipped=0, already_present=786
[02375/51350] processed, ingested=1589, skipped=0, already_present=786
[02400/51350] processed, ingested=1614, skipped=0, already_present=786
[02425/51350] processed, ingested=1639, skipped=0, already_present=786
[02450/51350] processed, ingested=1664, skipped=0, already_present=786
[02475/51350] processed, ingested=1689, skipped=0, already_present=786
[02500/51350] processed, ingested=1714, skipped=0, already_present=786
[02525/51350] processed, ingested=1739, skipped=0, already_present=786
[02550/51350] processed, ingested=1764, skipped=0, already_present=786
[02575/51350] processed, ingested=1789, skipped=0, already_present=786
[02600/51350] processed, ingested=1814, skipped=0, already_present=786
[02625/51350] processed, ingested=1839, skipped=0, already_present=786
[02650/51350] processed, ingested=1864, skipped=0, already_present=786
[02675/51350] processed, ingested=1889, skipped=0, already_present=786
[02700/51350] processed, ingested=1914, skipped=0, already_present=786
[02725/51350] processed, ingested=1939, skipped=0, already_present=786
[02750/51350] processed, ingested=1964, skipped=0, already_present=786
[02775/51350] processed, ingested=1989, skipped=0, already_present=786
[02800/51350] processed, ingested=2014, skipped=0, already_present=786
[02825/51350] processed, ingested=2039, skipped=0, already_present=786
[02850/51350] processed, ingested=2064, skipped=0, already_present=786
[02875/51350] processed, ingested=2089, skipped=0, already_present=786
[02900/51350] processed, ingested=2114, skipped=0, already_present=786
[02925/51350] processed, ingested=2139, skipped=0, already_present=786
[02950/51350] processed, ingested=2164, skipped=0, already_present=786
[02975/51350] processed, ingested=2189, skipped=0, already_present=786
[03000/51350] processed, ingested=2214, skipped=0, already_present=786
[03025/51350] processed, ingested=2239, skipped=0, already_present=786
[03050/51350] processed, ingested=2264, skipped=0, already_present=786
[03075/51350] processed, ingested=2287, skipped=2, already_present=786
[03100/51350] processed, ingested=2312, skipped=2, already_present=786
[03125/51350] processed, ingested=2337, skipped=2, already_present=786
[03150/51350] processed, ingested=2362, skipped=2, already_present=786
[03175/51350] processed, ingested=2385, skipped=4, already_present=786
[03200/51350] processed, ingested=2410, skipped=4, already_present=786
[03225/51350] processed, ingested=2433, skipped=6, already_present=786
