
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[13525/51350] processed, ingested=19, skipped=31, already_present=13475
[13550/51350] processed, ingested=44, skipped=31, already_present=13475
[13575/51350] processed, ingested=69, skipped=31, already_present=13475
[13600/51350] processed, ingested=94, skipped=31, already_present=13475
[13625/51350] processed, ingested=119, skipped=31, already_present=13475
[13650/51350] processed, ingested=144, skipped=31, already_present=13475
[13675/51350] processed, ingested=169, skipped=31, already_present=13475
[13700/51350] processed, ingested=194, skipped=31, already_present=13475
[13725/51350] processed, ingested=219, skipped=31, already_present=13475
[13750/51350] processed, ingested=244, skipped=31, already_present=13475
[13775/51350] processed, ingested=269, skipped=31, already_present=13475
[13800/51350] processed, ingested=294, skipped=31, already_present=13475
[13825/51350] processed, ingested=319, skipped=31, already_present=13475
[13850/51350] processed, ingested=343, skipped=32, already_present=13475
[13875/51350] processed, ingested=367, skipped=33, already_present=13475
[13900/51350] processed, ingested=391, skipped=33, already_present=13476
[13925/51350] processed, ingested=416, skipped=33, already_present=13476
[13950/51350] processed, ingested=441, skipped=33, already_present=13476
[13975/51350] processed, ingested=466, skipped=33, already_present=13476
[14000/51350] processed, ingested=490, skipped=33, already_present=13477
[14025/51350] processed, ingested=515, skipped=33, already_present=13477
[14050/51350] processed, ingested=540, skipped=33, already_present=13477
[14075/51350] processed, ingested=565, skipped=33, already_present=13477
[14100/51350] processed, ingested=590, skipped=33, already_present=13477
[14125/51350] processed, ingested=615, skipped=33, already_present=13477
[14150/51350] processed, ingested=640, skipped=33, already_present=13477
[14175/51350] processed, ingested=665, skipped=33, already_present=13477
[14200/51350] processed, ingested=690, skipped=33, already_present=13477
[14225/51350] processed, ingested=714, skipped=33, already_present=13478
[14250/51350] processed, ingested=739, skipped=33, already_present=13478
[14275/51350] processed, ingested=764, skipped=33, already_present=13478
[14300/51350] processed, ingested=789, skipped=33, already_present=13478
[14325/51350] processed, ingested=814, skipped=33, already_present=13478
[14350/51350] processed, ingested=839, skipped=33, already_present=13478
[14375/51350] processed, ingested=864, skipped=33, already_present=13478
[14400/51350] processed, ingested=889, skipped=33, already_present=13478
[14425/51350] processed, ingested=914, skipped=33, already_present=13478
[14450/51350] processed, ingested=939, skipped=33, already_present=13478
[14475/51350] processed, ingested=964, skipped=33, already_present=13478
[14500/51350] processed, ingested=989, skipped=33, already_present=13478
[14525/51350] processed, ingested=1014, skipped=33, already_present=13478
[14550/51350] processed, ingested=1039, skipped=33, already_present=13478
[14575/51350] processed, ingested=1064, skipped=33, already_present=13478
[14600/51350] processed, ingested=1089, skipped=33, already_present=13478
[14625/51350] processed, ingested=1114, skipped=33, already_present=13478
[14650/51350] processed, ingested=1139, skipped=33, already_present=13478
[14675/51350] processed, ingested=1164, skipped=33, already_present=13478
[14700/51350] processed, ingested=1189, skipped=33, already_present=13478
[14725/51350] processed, ingested=1214, skipped=33, already_present=13478
[14750/51350] processed, ingested=1239, skipped=33, already_present=13478
[14775/51350] processed, ingested=1264, skipped=33, already_present=13478
[14800/51350] processed, ingested=1289, skipped=33, already_present=13478
[14825/51350] processed, ingested=1314, skipped=33, already_present=13478
[14850/51350] processed, ingested=1339, skipped=33, already_present=13478
[14875/51350] processed, ingested=1364, skipped=33, already_present=13478
[14900/51350] processed, ingested=1389, skipped=33, already_present=13478
[14925/51350] processed, ingested=1414, skipped=33, already_present=13478
[14950/51350] processed, ingested=1439, skipped=33, already_present=13478
[14975/51350] processed, ingested=1464, skipped=33, already_present=13478
[15000/51350] processed, ingested=1487, skipped=34, already_present=13479
[15025/51350] processed, ingested=1512, skipped=34, already_present=13479
[15050/51350] processed, ingested=1537, skipped=34, already_present=13479
[15075/51350] processed, ingested=1561, skipped=34, already_present=13480
[15100/51350] processed, ingested=1586, skipped=34, already_present=13480
[15125/51350] processed, ingested=1611, skipped=34, already_present=13480
[15150/51350] processed, ingested=1636, skipped=34, already_present=13480
[15175/51350] processed, ingested=1661, skipped=34, already_present=13480
[15200/51350] processed, ingested=1686, skipped=34, already_present=13480
[15225/51350] processed, ingested=1709, skipped=34, already_present=13482
[15250/51350] processed, ingested=1734, skipped=34, already_present=13482
[15275/51350] processed, ingested=1758, skipped=35, already_present=13482
[15300/51350] processed, ingested=1783, skipped=35, already_present=13482
[15325/51350] processed, ingested=1806, skipped=36, already_present=13483
[15350/51350] processed, ingested=1830, skipped=36, already_present=13484
[15375/51350] processed, ingested=1854, skipped=36, already_present=13485
[15425/51350] processed, ingested=1898, skipped=36, already_present=13491
[15450/51350] processed, ingested=1922, skipped=36, already_present=13492
[15475/51350] processed, ingested=1947, skipped=36, already_present=13492
[15500/51350] processed, ingested=1970, skipped=36, already_present=13494
[15525/51350] processed, ingested=1995, skipped=36, already_present=13494
[15550/51350] processed, ingested=2020, skipped=36, already_present=13494
[15575/51350] processed, ingested=2045, skipped=36, already_present=13494
[15650/51350] processed, ingested=2117, skipped=36, already_present=13497
[15675/51350] processed, ingested=2142, skipped=36, already_present=13497
[15700/51350] processed, ingested=2167, skipped=36, already_present=13497
[15725/51350] processed, ingested=2192, skipped=36, already_present=13497
[15750/51350] processed, ingested=2217, skipped=36, already_present=13497
[15775/51350] processed, ingested=2242, skipped=36, already_present=13497
[15800/51350] processed, ingested=2267, skipped=36, already_present=13497
[15825/51350] processed, ingested=2292, skipped=36, already_present=13497
[15850/51350] processed, ingested=2317, skipped=36, already_present=13497
[15875/51350] processed, ingested=2342, skipped=36, already_present=13497
[15900/51350] processed, ingested=2367, skipped=36, already_present=13497
[15925/51350] processed, ingested=2392, skipped=36, already_present=13497
[15950/51350] processed, ingested=2417, skipped=36, already_present=13497
[15975/51350] processed, ingested=2442, skipped=36, already_present=13497
[16000/51350] processed, ingested=2467, skipped=36, already_present=13497
[16025/51350] processed, ingested=2492, skipped=36, already_present=13497
[16050/51350] processed, ingested=2517, skipped=36, already_present=13497
[16075/51350] processed, ingested=2542, skipped=36, already_present=13497
[16100/51350] processed, ingested=2567, skipped=36, already_present=13497
[16125/51350] processed, ingested=2591, skipped=36, already_present=13498
[16150/51350] processed, ingested=2616, skipped=36, already_present=13498
[16175/51350] processed, ingested=2641, skipped=36, already_present=13498
[16200/51350] processed, ingested=2666, skipped=36, already_present=13498
[16225/51350] processed, ingested=2691, skipped=36, already_present=13498
[16250/51350] processed, ingested=2716, skipped=36, already_present=13498
[16275/51350] processed, ingested=2741, skipped=36, already_present=13498
[16300/51350] processed, ingested=2765, skipped=36, already_present=13499
[16325/51350] processed, ingested=2790, skipped=36, already_present=13499
[16350/51350] processed, ingested=2810, skipped=36, already_present=13504
[16375/51350] processed, ingested=2833, skipped=36, already_present=13506
[16400/51350] processed, ingested=2855, skipped=36, already_present=13509
[16425/51350] processed, ingested=2877, skipped=36, already_present=13512
[16450/51350] processed, ingested=2901, skipped=36, already_present=13513
[16475/51350] processed, ingested=2925, skipped=36, already_present=13514
[16500/51350] processed, ingested=2947, skipped=36, already_present=13517
[16525/51350] processed, ingested=2972, skipped=36, already_present=13517
[16550/51350] processed, ingested=2997, skipped=36, already_present=13517
[16575/51350] processed, ingested=3022, skipped=36, already_present=13517
[16600/51350] processed, ingested=3046, skipped=36, already_present=13518
[16625/51350] processed, ingested=3069, skipped=38, already_present=13518
[16650/51350] processed, ingested=3085, skipped=46, already_present=13519
[16675/51350] processed, ingested=3089, skipped=67, already_present=13519
[16700/51350] processed, ingested=3101, skipped=80, already_present=13519
[16725/51350] processed, ingested=3126, skipped=80, already_present=13519
[16750/51350] processed, ingested=3151, skipped=80, already_present=13519
[16775/51350] processed, ingested=3175, skipped=81, already_present=13519
[16800/51350] processed, ingested=3200, skipped=81, already_present=13519
[16825/51350] processed, ingested=3224, skipped=82, already_present=13519
[16850/51350] processed, ingested=3249, skipped=82, already_present=13519
[16875/51350] processed, ingested=3274, skipped=82, already_present=13519
[16900/51350] processed, ingested=3299, skipped=82, already_present=13519
[16925/51350] processed, ingested=3324, skipped=82, already_present=13519
[16950/51350] processed, ingested=3349, skipped=82, already_present=13519
[16975/51350] processed, ingested=3374, skipped=82, already_present=13519
[17000/51350] processed, ingested=3396, skipped=85, already_present=13519
[17025/51350] processed, ingested=3421, skipped=85, already_present=13519
[17050/51350] processed, ingested=3442, skipped=87, already_present=13521
[17075/51350] processed, ingested=3466, skipped=87, already_present=13522
[17100/51350] processed, ingested=3489, skipped=87, already_present=13524
[17125/51350] processed, ingested=3512, skipped=89, already_present=13524
[17150/51350] processed, ingested=3536, skipped=89, already_present=13525
[17175/51350] processed, ingested=3561, skipped=89, already_present=13525
[17200/51350] processed, ingested=3584, skipped=91, already_present=13525
[17225/51350] processed, ingested=3606, skipped=94, already_present=13525
[17250/51350] processed, ingested=3629, skipped=96, already_present=13525
[17275/51350] processed, ingested=3653, skipped=97, already_present=13525
[17300/51350] processed, ingested=3677, skipped=98, already_present=13525
[17325/51350] processed, ingested=3702, skipped=98, already_present=13525
[17350/51350] processed, ingested=3727, skipped=98, already_present=13525
[17375/51350] processed, ingested=3752, skipped=98, already_present=13525
[17400/51350] processed, ingested=3777, skipped=98, already_present=13525
[17425/51350] processed, ingested=3801, skipped=99, already_present=13525
[17450/51350] processed, ingested=3826, skipped=99, already_present=13525
[17475/51350] processed, ingested=3848, skipped=102, already_present=13525
[17500/51350] processed, ingested=3872, skipped=103, already_present=13525
[17525/51350] processed, ingested=3897, skipped=103, already_present=13525
[17550/51350] processed, ingested=3922, skipped=103, already_present=13525
[17575/51350] processed, ingested=3947, skipped=103, already_present=13525
[17600/51350] processed, ingested=3972, skipped=103, already_present=13525
[17625/51350] processed, ingested=3997, skipped=103, already_present=13525
[17650/51350] processed, ingested=4022, skipped=103, already_present=13525
[17675/51350] processed, ingested=4047, skipped=103, already_present=13525
[17700/51350] processed, ingested=4071, skipped=103, already_present=13526
[17725/51350] processed, ingested=4094, skipped=105, already_present=13526
[17750/51350] processed, ingested=4119, skipped=105, already_present=13526
[17775/51350] processed, ingested=4144, skipped=105, already_present=13526
[17800/51350] processed, ingested=4169, skipped=105, already_present=13526
[17825/51350] processed, ingested=4194, skipped=105, already_present=13526
[17850/51350] processed, ingested=4218, skipped=106, already_present=13526
[17875/51350] processed, ingested=4243, skipped=106, already_present=13526
[17900/51350] processed, ingested=4268, skipped=106, already_present=13526
[17925/51350] processed, ingested=4293, skipped=106, already_present=13526
[17950/51350] processed, ingested=4318, skipped=106, already_present=13526
[17975/51350] processed, ingested=4343, skipped=106, already_present=13526
[18000/51350] processed, ingested=4366, skipped=108, already_present=13526
[18025/51350] processed, ingested=4391, skipped=108, already_present=13526
[18050/51350] processed, ingested=4414, skipped=109, already_present=13527
[18075/51350] processed, ingested=4438, skipped=110, already_present=13527
[18100/51350] processed, ingested=4462, skipped=110, already_present=13528
[18125/51350] processed, ingested=4486, skipped=110, already_present=13529
[18150/51350] processed, ingested=4511, skipped=110, already_present=13529
[18175/51350] processed, ingested=4536, skipped=110, already_present=13529
[18200/51350] processed, ingested=4560, skipped=111, already_present=13529
[18225/51350] processed, ingested=4585, skipped=111, already_present=13529
[18250/51350] processed, ingested=4610, skipped=111, already_present=13529
